main_headline,snippet,quintile,set
Alaska Tourism Officials See an Opportunity in Coronavirus,"“If you’re interested in the Great Wall and ancient sites, Alaska also offers spectacular natural sites,” said one Anchorage tourism official.",1,6
Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge,The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.,1,6
Zoom Fatigue: How to Politely Decline a Call During Quarantine,The normal boundaries that once dictated social etiquette have essentially dissolved. So how do you disconnect?,2,6
"Invasive Grasses May Worsen Wildfires, Study Suggests","Grasses that have encroached from other regions can make wildfires more frequent, according to a new study. ",2,6
Surge of Virus Misinformation Stumps Facebook and Twitter,"Secret labs. Magic cures. Government plots. Despite efforts by social media companies to stop it, false information about the coronavirus is proliferating around the world.",3,6
"Becoming Greta: ‘Invisible Girl’ to Global Climate Activist, With Bumps Along the Way",A Swedish girl’s solitary act of civil disobedience has turned her into a symbol for climate action. But her path hasn’t been easy.,3,6
Online Help to Stay Sober During a Pandemic,"Though face-to-face counseling and in-person group meetings have been suspended to curb the spread of the coronavirus, there are many virtual options newly available for support.",4,6
"The Immense, Eternal Footprint Humanity Leaves on Earth: Plastics","More than 8 billion metric tons of plastic have been made since the 1950s, researchers found. Because it does not degrade, most is still in the environment....",4,6
Children and Coronavirus: Research Finds Some Become Seriously Ill,"A study of more than 2,000 children with the virus in China found that babies were especially vulnerable to developing severe infection.",5,6
6 Things You’re Recycling Wrong,"Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”",5,6
Airbnb Raises $1 Billion to Stockpile Cash in Pandemic,The home rental company raised new funding as its business has been roiled by the coronavirus.,1,7
Automakers Shift Gears on Climate Change,"A conversation with the oceanographer Sylvia Earle. Also this week: We ask automakers about climate science, and forecasters look forward to spring.",1,7
When Coronavirus Care Gets Lost in Translation,"Medical interpreters must now work remotely, multiplying the challenges for front-line doctors and non-English-speaking patients.",2,7
Cash for Carbon: Schumer Climate Plan Would Help Consumers Buy Electric Cars,A $450 billion climate change proposal from Senator Chuck Schumer would give consumers vouchers to buy American-made electric and hybrid cars and trucks.,2,7
What’s Scaring the Pediatricians,"Children are not the focus of the pandemic. But pediatricians are worried for children and families, for now and for the future.",3,7
Climate Change and the Elections: Five Takeaways,"Carbon taxes, renewable energy and climate bipartisanship were all on the ballot in various forms. Here's how they fared. ",3,7
Gyms and Coronavirus: What Are the Risks?,"Sweat cannot transmit the virus but high-contact surfaces, such as barbells, can pose a problem, a doctor said.",4,7
Climate Change Denialists Say Polar Bears Are Fine. Scientists Are Pushing Back. ,"In a new study, researchers single out a blog run by a Canadian zoologist as a primary source of dubious information about the status of polar bears.",4,7
How to Clean Your Phone to Help Protect Against Coronavirus,It’s one thing to stop touching your face. It’s another to stop touching the things that touch your face.,5,7
"The ‘Great Pacific Garbage Patch’ Is Ballooning, 87,000 Tons of Plastic and Counting","Floating between California and Hawaii, the trash zone is up to 16 times bigger than previously thought, a new study suggests, and is growing ""exponentially.""",5,7
The Art of the Pitch in the Midst of a Pandemic,Publicists for products in the pipeline long before the outbreak struggle to find the right tone.,1,8
5 Takeaways From The Times’s ClimateTECH Conference,"At the gathering of technology and business leaders in San Francisco, discussion ranged from big data to lab-grown meat to a new candidacy for governor.",1,8
Voices From Travel’s Frontlines: ‘Fasten Your Seatbelts’,"We spoke with eight travel and hospitality workers, from California to Croatia, who have been working as the coronavirus spreads. They shared similar concerns about an uncertain future.",2,8
One Thing You Can Do: Switch to a Green Energy Provider,"Also, reporters, activists and world leaders get set for climate week.",2,8
How to Tell if It’s More Than Just a Bad Mood,"It is understandable if the coronavirus pandemic has put you in a funk, but depression should be evaluated and treated.",3,8
We’re Covering Heritage Sites Threatened by Climate Change. The List Just Got Longer. ,A new study says some of the most important ancient places in the Mediterranean might not survive global warming. ,3,8
Gargling for Coronavirus? What Science Can Tell Us,There is no firm proof that gargling prevents respiratory infections caused by coronavirus — or any virus or bacteria. But there’s also little downside.,4,8
Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years,"Some of the world's largest companies estimate they face roughly $1 trillion in climate-related risks, with most of that looming in just the next five years.",4,8
"Most New York Coronavirus Cases Came From Europe, Genomes Show","Travelers seeded multiple cases starting as early as mid-February, genomes show.",5,8
"Lawmakers, Lobbyists and the Administration Join Forces to Overhaul the Endangered Species Act","In recent weeks, more than two dozen measures have been proposed to remove protections for species and weaken the law, which critics say impedes people’s livelihoods.",5,8
Why Rural America’s Digital Divide Persists,The pandemic is making clear that rural Americans are left behind. Less clear is how to fix it.,1,9
"Heat Wave Nudged the Planet to Its Hottest June, European Forecasters Say","A United States government analysis due this month is expected to reach similar conclusions, though the rankings of record months might differ slightly.",1,9
A Privacy Absolutist Isn’t So Sure Anymore,"The urgency of the pandemic has made Charlie Warzel, an Opinion writer for The Times, question his beliefs on the dangers of location tracking.",2,9
Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.,The world added more solar power than any other energy source in 2017. But it's still a tiny fraction of total electricity.,2,9
What We Can Learn From Endurance Athletes About Getting Through This Pandemic,"Long-distance runners, cyclists and triathletes can teach us about how to move through extended periods of discomfort.",3,9
Three Campaign Ads That Are Putting Climate Change on the Agenda,"Across the country, there’s been a small explosion of campaign ads about global warming.",3,9
Should I Make My Own Mask?,"The advice from public health officials has been confusing, leaving us to decide whether a D.I.Y. mask is better than nothing.",4,9
How Record Heat Wreaked Havoc on Four Continents,We talked to people who found themselves on the front lines of climate change this year. Here are their stories.,4,9
F.D.A. Warns 7 Companies to Stop Claiming Silver and Other Products Treat Coronavirus,The Food and Drug Administration and the Federal Trade Commission said the claims threaten public health because consumers might stop or delay appropriate medical treatment.,5,9
‘Like a Terror Movie’: How Climate Change Will Cause More Simultaneous Disasters ,"By the end of this century, some parts of the world could face as many as six climate-related crises at the same time, researchers have concluded.",5,9
To My Husband in Quarantine on Day 18,Incurable cancer and chemo have devastated my immune system. My husband’s strict isolation is an act of Covid-19 contagion chivalry.,1,10
30 Vaquita Porpoises Are Left. One Died in a Rescue Mission.,Scientists called off an effort to save one of the world’s rarest marine mammals — the vaquita — when one died after being captured for rehabilitation.,1,10
What if I Need to Go on a Ventilator?,A critical care doctor explains what treatment for coronavirus looks like in the intensive care unit.,2,10
The World Is Embracing S.U.V.s. That’s Bad News for the Climate.,"For the first time last year, S.U.V.s made up more than one in three cars sold globally as drivers in China, Australia and Europe ditched sedans.",2,10
China Silences Critics Over Deadly Virus Outbreak,"Beijing has responded faster to the new threat than it did with SARS, but it still silences and punishes those who veer from the official line, with potentially damaging consequences.",3,10
"Climate Lawsuits, Once Limited to the Coasts, Jump Inland",Local governments in California and New York City have sued oil and gas giants. Now Boulder and two Colorado counties have joined the fight. ,3,10
"Coronavirus Infections May Not Be Uncommon, Tests Suggest",Two preliminary efforts to survey citizens for antibodies to the virus have produced controversial results.,4,10
Want Cleaner Air? Try Using Less Deodorant,"Consumer products like perfume, pesticides and paint can contribute as much to city air pollution as cars. ",4,10
Polio and Measles Could Surge After Disruption of Vaccine Programs,"A new study of 129 countries found that the interruption of inoculation efforts could put 80 million babies at risk of getting deadly, preventable diseases.",5,10
Pictures From Youth Climate Strikes Around the World,Children and young adults around the world skipped school en masse Friday to demand action on climate change.,5,10
