"main_headline","snippet","quintile","set","content","article_number"
"E.U. Leaders Fail to Strengthen Climate Target","A proposal to reduce the 28-country bloc's net carbon emissions to zero by 2050 failed when eastern countries that are heavily dependent on coal raised objections. ",1,4,"climate",41
"Does Cooking Boost Nutrients in Tomatoes and Spinach?","Levels of some nutrients may go up with cooking. But levels of others go down.",2,4,"health",42
"How One Billionaire Could Keep Three Countries Hooked on Coal for Decades","The story of a mining project in Australia helps to explain why the world keeps burning coal despite the profound risk it poses to the future.",2,4,"climate",43
"For Babies, Solid Food at 3 Months May Lead to Sounder Sleep","Babies who got solid food early were sleeping 17 minutes longer per night than those that had breast-fed through 6 months of age. ",3,4,"health",44
"Bigger, Faster Avalanches, Triggered by Climate Change","A deadly 2016 glacier collapse in Tibet surpassed scientists’ expectations — until it happened again. They worry it’s only the beginning.",3,4,"climate",45
"What Foods Should I Avoid to Prevent Kidney Stones?","Drink more fluids, consume less sodium and eat a diet that includes calcium-rich foods. ",4,4,"health",46
"Five Affordable, Effective Alternatives to Disposable Cleaning Products","From single-use cleaning wipes to detachable toilet wands, disposable cleaning products are often more expensive and less effective than the reusable products they replace.",4,4,"climate",47
"In a Hurry? Try Express Weight Training","A new study finds that you can build strength in just 13 minutes with a single, brief set of each exercise, if you work really hard. ",5,4,"health",48
"Your Recycling Gets Recycled, Right? Maybe, or Maybe Not","Plastics and papers from dozens of American cities and towns are being dumped in landfills after China stopped recycling most “foreign garbage.”",5,4,"climate",49
"White Meat vs. Red Meat and Cholesterol Levels","In a study, red meat and white meat had the same effect on levels of “bad” cholesterol.",1,5,"health",50
"Environmentalists and Nuclear Power? It’s Complicated","This week: Environmentalists and nuclear power make odd bedfellows, the world’s shipping sector charts a course, and a handy guide helps you reduce your own carbon footprint.",1,5,"climate",51
"Eating Processed Meats Tied to Breast Cancer Risk","Women who ate the most processed meats, like hot dogs, bacon and ham, had a 9 percent increased risk of breast cancer compared to those who infrequently ate such foods.",2,5,"health",52
"Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster","The Midwest floods have highlighted a gap in disaster readiness: Fewer Americans are buying flood insurance, even as climate change increases their risk.",2,5,"climate",53
"Excess Weight Contributes to More Than 7 Percent of Cancers","The highest rates of weight-associated cancer are in the South, the Midwest, Alaska and Washington, D.C.; the lowest were in the Mountain States, New England and Hawaii.",3,5,"health",54
"How to Break Your Single-Use Plastics Habit","Ditch your one-and-done straws, spoons, and containers with this kit of affordable, reusable stand-ins.",3,5,"climate",55
"The Year in Fitness: Exercise, Add Intensity, Live to See Another Year","There may be something unique about pushing yourself at least a little extra that alters and ramps up the benefits of exercise, beginning deep within our cells.",4,5,"health",56
"Plastic Bags, or Paper? Here’s What to Consider When You Hit the Grocery Store","Plastic and paper both have downsides. Here are a few broad lessons to keep in mind. ",4,5,"climate",57
"Scared of High-Intensity Interval Training? A Heart Monitor Can Make It Fun and Easy","The popular fitness trend sounds brutal. But a simple tool can make it speed by.",5,5,"health",58
"What Land Will Be Underwater in 20 Years? Figuring It Out Could Be Lucrative ","Detailed information about climate risks is surprisingly hard to find. A Silicon Valley start-up is trying to change that. ",5,5,"climate",59
"Vitamin D During Pregnancy May Improve Dental Health of Babies","High doses of vitamin D during pregnancy improved tooth enamel in offspring.",1,6,"health",60
"Senate Takes Step to Approve Drilling in Arctic Wildlife Refuge","The prospects for opening the Arctic National Wildlife Refuge to oil and gas exploration are better than they have been in years.",1,6,"climate",61
"A Challenge Race Shakes Up the Running Routine","Races designed to almost guarantee you won’t set a new personal record are becoming increasingly popular among runners who crave something new.",2,6,"health",62
"Invasive Grasses May Worsen Wildfires, Study Suggests","Grasses that have encroached from other regions can make wildfires more frequent, according to a new study. ",2,6,"climate",63
"Getting Your Protein From Plants May Help You Live Longer","Japanese men and women who consumed the most plant proteins had a lower rate of cardiovascular death and stroke.",3,6,"health",64
"Becoming Greta: ‘Invisible Girl’ to Global Climate Activist, With Bumps Along the Way","A Swedish girl’s solitary act of civil disobedience has turned her into a symbol for climate action. But her path hasn’t been easy.",3,6,"climate",65
"Is There a Downside to Going Gluten-Free if You’re Healthy?","A gluten-free or grain-free diet can pose risks for someone who is not highly sensitive to gluten. Such a diet is also unlikely to provide benefits.",4,6,"health",66
"The Immense, Eternal Footprint Humanity Leaves on Earth: Plastics","More than 8 billion metric tons of plastic have been made since the 1950s, researchers found. Because it does not degrade, most is still in the environment....",4,6,"climate",67
"Bananas vs. Sports Drinks? Bananas Win in Study","A banana might reasonably replace sports drinks for those of us who rely on carbohydrates to fuel exercise and speed recovery.",5,6,"health",68
"6 Things You’re Recycling Wrong","Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”",5,6,"climate",69
"Visiting McDonald’s With My Grandmother","Moving from wealth in Korea to poverty in California, she delighted in finding ways to stretch a dollar on American fast food....",1,7,"health",70
"Automakers Shift Gears on Climate Change","A conversation with the oceanographer Sylvia Earle. Also this week: We ask automakers about climate science, and forecasters look forward to spring.",1,7,"climate",71
"Could a Gut Bacteria Supplement Make Us Run Faster?","Running a marathon ramps up levels of a gut bacteria that made mice run faster, but it’s unclear whether it would work in people.",2,7,"health",72
"Cash for Carbon: Schumer Climate Plan Would Help Consumers Buy Electric Cars","A $450 billion climate change proposal from Senator Chuck Schumer would give consumers vouchers to buy American-made electric and hybrid cars and trucks.",2,7,"climate",73
"A Probiotic for Obesity?","People with metabolic disorders may benefit from supplements of a common gut bacterium, a small pilot study suggests.",3,7,"health",74
"Climate Change and the Elections: Five Takeaways","Carbon taxes, renewable energy and climate bipartisanship were all on the ballot in various forms. Here's how they fared. ",3,7,"climate",75
"We Slow as We Age, but May Not Need to Slow Too Much","Although declines in running and other activities are unavoidable, they may be less steep than many of us fear.",4,7,"health",76
"Climate Change Denialists Say Polar Bears Are Fine. Scientists Are Pushing Back. ","In a new study, researchers single out a blog run by a Canadian zoologist as a primary source of dubious information about the status of polar bears.",4,7,"climate",77
"Why So Many of Us Don’t Lose Weight When We Exercise","Most of us eat more when we exercise, and though it may be just a few extra bites a day, the result is weight gain.",5,7,"health",78
"The ‘Great Pacific Garbage Patch’ Is Ballooning, 87,000 Tons of Plastic and Counting","Floating between California and Hawaii, the trash zone is up to 16 times bigger than previously thought, a new study suggests, and is growing ""exponentially.""",5,7,"climate",79
"Statins Tied to Risk of Skin Infections","People taking statins to lower cholesterol were at increased risk of developing staph skin infections.",1,8,"health",80
"5 Takeaways From The Times’s ClimateTECH Conference","At the gathering of technology and business leaders in San Francisco, discussion ranged from big data to lab-grown meat to a new candidacy for governor.",1,8,"climate",81
"Heart Risks Tied to Parkinson’s Disease ","Abdominal obesity, high triglycerides, high cholesterol, high blood pressure and high glucose readings were linked to an increased risk of developing Parkinson’s disease. ",2,8,"health",82
"One Thing You Can Do: Switch to a Green Energy Provider","Also, reporters, activists and world leaders get set for climate week.",2,8,"climate",83
"Can Lifestyle Changes Remove Plaques in Your Arteries?","Diet, smoking cessation, stress management and exercise can decrease the size of atherosclerotic plaques and help to stabilize them so that you are less likely to have a heart attack.",3,8,"health",84
"We’re Covering Heritage Sites Threatened by Climate Change. The List Just Got Longer. ","A new study says some of the most important ancient places in the Mediterranean might not survive global warming. ",3,8,"climate",85
"A Before-School Exercise Program May Help Children Thrive","The BOKS program, consisting of an hour of running, calisthenics and rousing group games, made children feel happier and more energetic.",4,8,"health",86
"Companies See Climate Change Hitting Their Bottom Lines in the Next 5 Years","Some of the world's largest companies estimate they face roughly $1 trillion in climate-related risks, with most of that looming in just the next five years.",4,8,"climate",87
"CBD Is Everywhere, but Scientists Still Don’t Know Much About It","“It is a kind of a new snake oil in the sense that there are a lot of claims and not so much evidence,” said one expert.",5,8,"health",88
"Lawmakers, Lobbyists and the Administration Join Forces to Overhaul the Endangered Species Act","In recent weeks, more than two dozen measures have been proposed to remove protections for species and weaken the law, which critics say impedes people’s livelihoods.",5,8,"climate",89
"Hearing Loss May Make You Accident Prone","Poor hearing was associated with an increased likelihood of injuries related to driving, work, leisure and sports.",1,9,"health",90
"Heat Wave Nudged the Planet to Its Hottest June, European Forecasters Say","A United States government analysis due this month is expected to reach similar conclusions, though the rankings of record months might differ slightly.",1,9,"climate",91
"Do Parents Make Kids Fat?","There is an underlying assumption that children can be controlled if only their parents would take the trouble.",2,9,"health",92
"Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.","The world added more solar power than any other energy source in 2017. But it's still a tiny fraction of total electricity.",2,9,"climate",93
"Sugary Drink Ban Tied to Health Improvements at Medical Center","Workers at the University of California, San Francisco, lost belly fat and showed metabolic benefits after a ban on sugary drinks went into effect.",3,9,"health",94
"Three Campaign Ads That Are Putting Climate Change on the Agenda","Across the country, there’s been a small explosion of campaign ads about global warming.",3,9,"climate",95
"To Treat Eating Disorders, It Sometimes Takes Two","Romantic partners of someone with an eating disorder often want to help, but simply don’t know how.",4,9,"health",96
"How Record Heat Wreaked Havoc on Four Continents","We talked to people who found themselves on the front lines of climate change this year. Here are their stories.",4,9,"climate",97
"Can Low-Impact Sports Like Cycling Be Putting Your Bones at Risk?","Research has raised concerns that activities like cycling and swimming may put too little pressure on bones.",5,9,"health",98
"‘Like a Terror Movie’: How Climate Change Will Cause More Simultaneous Disasters ","By the end of this century, some parts of the world could face as many as six climate-related crises at the same time, researchers have concluded.",5,9,"climate",99
"Does a ‘Strong’ Immune System Ward Off Colds and Flu?","How well you fight off colds and flu is likely a combination of luck, genetics and lifestyle.",1,10,"health",100
"30 Vaquita Porpoises Are Left. One Died in a Rescue Mission.","Scientists called off an effort to save one of the world’s rarest marine mammals — the vaquita — when one died after being captured for rehabilitation.",1,10,"climate",101
"Opposed to G.M.O.s? How Much Do You Know About Them?","People who are the most extremely opposed to genetically modified organisms tend to know the least about them, a new study found.",2,10,"health",102
"The World Is Embracing S.U.V.s. That’s Bad News for the Climate.","For the first time last year, S.U.V.s made up more than one in three cars sold globally as drivers in China, Australia and Europe ditched sedans.",2,10,"climate",103
"Using A.I. to Transform Breast Cancer Care","Just as computers can predict your shopping habits, researchers are using them to map the medical history of cancer patients to predict and treat the disease, and possibly to prevent it.",3,10,"health",104
"Climate Lawsuits, Once Limited to the Coasts, Jump Inland","Local governments in California and New York City have sued oil and gas giants. Now Boulder and two Colorado counties have joined the fight. ",3,10,"climate",105
"Sleep Apnea Can Have Deadly Consequences","The condition is on the rise because the most frequent cause is obesity, which continues its unrelenting climb among American adults.",4,10,"health",106
"Want Cleaner Air? Try Using Less Deodorant","Consumer products like perfume, pesticides and paint can contribute as much to city air pollution as cars. ",4,10,"climate",107
"‘Obesity Paradox’ Fails to Hold Up in Study","Obesity was associated with an increased risk for cardiovascular disease and a two- to three-year shorter life span.",5,10,"health",108
"Pictures From Youth Climate Strikes Around the World","Children and young adults around the world skipped school en masse Friday to demand action on climate change.",5,10,"climate",109
