"study","group","condition","SID","survey_name","item","value"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_self","msg_rel_self_09","6"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_self","msg_rel_self_09","5"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_self","msg_rel_self_09","6"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_self","msg_rel_self_09","5"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_self","msg_rel_self_09","5"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_self","msg_rel_self_10","5"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_self","msg_rel_self_10","5"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_self","msg_rel_self_10","7"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_self","msg_rel_self_10","6"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_self","msg_rel_self_10","5"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_self","msg_rel_self_10","5"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_self","msg_rel_self_10","5"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_self","msg_rel_self_10","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_self","msg_rel_self_12","7"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_self","msg_rel_self_12","3"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_self","msg_rel_self_12","7"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_self","msg_rel_self_12","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_self","msg_rel_self_12","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_self","msg_rel_self_12","6"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_self","msg_rel_self_12","5"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_self","msg_rel_self_12","6"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_self","msg_rel_self_15","6"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_self","msg_rel_self_15","6"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_self","msg_rel_self_15","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_self","msg_rel_self_15","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_self","msg_rel_self_15","7"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_self","msg_rel_self_15","6"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_self","msg_rel_self_17","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_self","msg_rel_self_17","7"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_self","msg_rel_self_17","4"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_self","msg_rel_self_17","7"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_self","msg_rel_self_17","5"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_self","msg_rel_self_17","5"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_self","msg_rel_self_17","6"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_self","msg_rel_self_18","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_self","msg_rel_self_18","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_self","msg_rel_self_18","6"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_self","msg_rel_self_18","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_self","msg_rel_self_18","5"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_self","msg_rel_self_18","5"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_self","msg_rel_self_18","4"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_self","msg_rel_self_18","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_self","msg_rel_self_20","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_self","msg_rel_self_20","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_self","msg_rel_self_20","5"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_self","msg_rel_self_20","6"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_self","msg_rel_self_20","7"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_self","msg_rel_self_23","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_self","msg_rel_self_23","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_self","msg_rel_self_23","5"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_self","msg_rel_self_24","7"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_self","msg_rel_self_24","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_self","msg_rel_self_24","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_self","msg_rel_self_24","7"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_self","msg_rel_self_24","5"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_self","msg_rel_self_24","5"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_self","msg_rel_self_24","5"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_self","msg_rel_self_24","7"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_self","msg_rel_self_24","6"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_self","msg_rel_self_25","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_self","msg_rel_self_25","5"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_self","msg_rel_self_25","2"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_self","msg_rel_self_25","5"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_self","msg_rel_self_25","7"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_self","msg_rel_self_25","7"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_self","msg_rel_self_31","7"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_self","msg_rel_self_31","6"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_self","msg_rel_self_31","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_self","msg_rel_self_31","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_self","msg_rel_self_31","6"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_self","msg_rel_self_32","6"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_self","msg_rel_self_32","6"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_self","msg_rel_self_32","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_self","msg_rel_self_32","6"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_self","msg_rel_self_32","5"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_self","msg_rel_self_32","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_self","msg_rel_self_32","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_social","msg_rel_social_06","7"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_social","msg_rel_social_06","6"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_social","msg_rel_social_06","4"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_social","msg_rel_social_06","6"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_social","msg_rel_social_06","7"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_social","msg_rel_social_07","5"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_social","msg_rel_social_07","6"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_social","msg_rel_social_07","7"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_social","msg_rel_social_07","6"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_social","msg_rel_social_07","7"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_social","msg_rel_social_07","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_social","msg_rel_social_08","4"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_social","msg_rel_social_08","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_social","msg_rel_social_08","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_social","msg_rel_social_08","6"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_social","msg_rel_social_09","5"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_social","msg_rel_social_09","4"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_social","msg_rel_social_09","6"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_social","msg_rel_social_09","6"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_social","msg_rel_social_09","6"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_social","msg_rel_social_09","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_social","msg_rel_social_09","7"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_social","msg_rel_social_09","6"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_social","msg_rel_social_10","6"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_social","msg_rel_social_10","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_social","msg_rel_social_10","7"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_social","msg_rel_social_10","6"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_social","msg_rel_social_10","5"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_social","msg_rel_social_10","6"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_social","msg_rel_social_10","4"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_social","msg_rel_social_10","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_social","msg_rel_social_12","7"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_social","msg_rel_social_12","3"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_social","msg_rel_social_12","7"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_social","msg_rel_social_12","6"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_social","msg_rel_social_12","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_social","msg_rel_social_12","6"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_social","msg_rel_social_12","6"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_social","msg_rel_social_12","7"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_social","msg_rel_social_15","6"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_social","msg_rel_social_15","6"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_social","msg_rel_social_15","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_social","msg_rel_social_15","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_social","msg_rel_social_15","6"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_social","msg_rel_social_15","7"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_social","msg_rel_social_17","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_social","msg_rel_social_17","7"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_social","msg_rel_social_17","4"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_social","msg_rel_social_17","7"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_social","msg_rel_social_17","7"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_social","msg_rel_social_17","6"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_social","msg_rel_social_17","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_social","msg_rel_social_18","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_social","msg_rel_social_18","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_social","msg_rel_social_18","6"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_social","msg_rel_social_18","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_social","msg_rel_social_18","5"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_social","msg_rel_social_18","5"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_social","msg_rel_social_18","6"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_social","msg_rel_social_18","7"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_social","msg_rel_social_20","6"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_social","msg_rel_social_20","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_social","msg_rel_social_20","5"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_social","msg_rel_social_20","6"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_social","msg_rel_social_20","7"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_social","msg_rel_social_23","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_social","msg_rel_social_23","7"
"study1_pilot2","autonomous","autonomous","s227","msg_rel_social","msg_rel_social_23","5"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_social","msg_rel_social_24","7"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_social","msg_rel_social_24","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_social","msg_rel_social_24","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_social","msg_rel_social_24","7"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_social","msg_rel_social_24","5"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_social","msg_rel_social_24","1"
"study1_pilot2","autonomous","autonomous","s196","msg_rel_social","msg_rel_social_24","6"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_social","msg_rel_social_24","7"
"study1_pilot2","autonomous","autonomous","s232","msg_rel_social","msg_rel_social_24","5"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_social","msg_rel_social_25","7"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_social","msg_rel_social_25","5"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_social","msg_rel_social_25","6"
"study1_pilot2","autonomous","autonomous","s185","msg_rel_social","msg_rel_social_25","5"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_social","msg_rel_social_25","7"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_social","msg_rel_social_25","7"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_social","msg_rel_social_31","7"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_social","msg_rel_social_31","6"
"study1_pilot2","autonomous","autonomous","s138","msg_rel_social","msg_rel_social_31","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_social","msg_rel_social_31","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_social","msg_rel_social_31","7"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_social","msg_rel_social_32","6"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_social","msg_rel_social_32","6"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_social","msg_rel_social_32","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_social","msg_rel_social_32","6"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_social","msg_rel_social_32","6"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_social","msg_rel_social_32","7"
"study1_pilot2","autonomous","autonomous","s221","msg_rel_social","msg_rel_social_32","7"
"study1_pilot2","autonomous","autonomous","s064","msg_share","msg_share_06","5"
"study1_pilot2","autonomous","autonomous","s134","msg_share","msg_share_06","6"
"study1_pilot2","autonomous","autonomous","s143","msg_share","msg_share_06","3"
"study1_pilot2","autonomous","autonomous","s166","msg_share","msg_share_06","5"
"study1_pilot2","autonomous","autonomous","s190","msg_share","msg_share_06","5"
"study1_pilot2","autonomous","autonomous","s054","msg_share","msg_share_07","4"
"study1_pilot2","autonomous","autonomous","s134","msg_share","msg_share_07","6"
"study1_pilot2","autonomous","autonomous","s153","msg_share","msg_share_07","6"
"study1_pilot2","autonomous","autonomous","s166","msg_share","msg_share_07","4"
"study1_pilot2","autonomous","autonomous","s190","msg_share","msg_share_07","6"
"study1_pilot2","autonomous","autonomous","s208","msg_share","msg_share_07","7"
"study1_pilot2","autonomous","autonomous","s068","msg_share","msg_share_08","4"
"study1_pilot2","autonomous","autonomous","s093","msg_share","msg_share_08","4"
"study1_pilot2","autonomous","autonomous","s098","msg_share","msg_share_08","4"
"study1_pilot2","autonomous","autonomous","s100","msg_share","msg_share_08","5"
"study1_pilot2","autonomous","autonomous","s108","msg_share","msg_share_08","2"
"study1_pilot2","autonomous","autonomous","s143","msg_share","msg_share_08","1"
"study1_pilot2","autonomous","autonomous","s153","msg_share","msg_share_08","6"
"study1_pilot2","autonomous","autonomous","s155","msg_share","msg_share_08","2"
"study1_pilot2","autonomous","autonomous","s203","msg_share","msg_share_08","3"
"study1_pilot2","autonomous","autonomous","s054","msg_share","msg_share_09","3"
"study1_pilot2","autonomous","autonomous","s068","msg_share","msg_share_09","3"
"study1_pilot2","autonomous","autonomous","s134","msg_share","msg_share_09","5"
"study1_pilot2","autonomous","autonomous","s138","msg_share","msg_share_09","7"
"study1_pilot2","autonomous","autonomous","s196","msg_share","msg_share_09","6"
"study1_pilot2","autonomous","autonomous","s208","msg_share","msg_share_09","7"
"study1_pilot2","autonomous","autonomous","s227","msg_share","msg_share_09","5"
"study1_pilot2","autonomous","autonomous","s232","msg_share","msg_share_09","6"
"study1_pilot2","autonomous","autonomous","s054","msg_share","msg_share_10","5"
"study1_pilot2","autonomous","autonomous","s068","msg_share","msg_share_10","3"
"study1_pilot2","autonomous","autonomous","s108","msg_share","msg_share_10","7"
"study1_pilot2","autonomous","autonomous","s134","msg_share","msg_share_10","6"
"study1_pilot2","autonomous","autonomous","s143","msg_share","msg_share_10","1"
"study1_pilot2","autonomous","autonomous","s166","msg_share","msg_share_10","6"
"study1_pilot2","autonomous","autonomous","s196","msg_share","msg_share_10","6"
"study1_pilot2","autonomous","autonomous","s208","msg_share","msg_share_10","7"
"study1_pilot2","autonomous","autonomous","s064","msg_share","msg_share_12","5"
"study1_pilot2","autonomous","autonomous","s108","msg_share","msg_share_12","1"
"study1_pilot2","autonomous","autonomous","s138","msg_share","msg_share_12","7"
"study1_pilot2","autonomous","autonomous","s185","msg_share","msg_share_12","4"
"study1_pilot2","autonomous","autonomous","s203","msg_share","msg_share_12","7"
"study1_pilot2","autonomous","autonomous","s221","msg_share","msg_share_12","4"
"study1_pilot2","autonomous","autonomous","s227","msg_share","msg_share_12","3"
"study1_pilot2","autonomous","autonomous","s232","msg_share","msg_share_12","5"
"study1_pilot2","autonomous","autonomous","s054","msg_share","msg_share_15","5"
"study1_pilot2","autonomous","autonomous","s185","msg_share","msg_share_15","4"
"study1_pilot2","autonomous","autonomous","s190","msg_share","msg_share_15","7"
"study1_pilot2","autonomous","autonomous","s221","msg_share","msg_share_15","5"
"study1_pilot2","autonomous","autonomous","s227","msg_share","msg_share_15","6"
"study1_pilot2","autonomous","autonomous","s232","msg_share","msg_share_15","6"
"study1_pilot2","autonomous","autonomous","s054","msg_share","msg_share_17","3"
"study1_pilot2","autonomous","autonomous","s098","msg_share","msg_share_17","7"
"study1_pilot2","autonomous","autonomous","s143","msg_share","msg_share_17","1"
"study1_pilot2","autonomous","autonomous","s153","msg_share","msg_share_17","6"
"study1_pilot2","autonomous","autonomous","s166","msg_share","msg_share_17","6"
"study1_pilot2","autonomous","autonomous","s196","msg_share","msg_share_17","6"
"study1_pilot2","autonomous","autonomous","s232","msg_share","msg_share_17","6"
"study1_pilot2","autonomous","autonomous","s064","msg_share","msg_share_18","7"
"study1_pilot2","autonomous","autonomous","s068","msg_share","msg_share_18","6"
"study1_pilot2","autonomous","autonomous","s100","msg_share","msg_share_18","7"
"study1_pilot2","autonomous","autonomous","s138","msg_share","msg_share_18","7"
"study1_pilot2","autonomous","autonomous","s155","msg_share","msg_share_18","2"
"study1_pilot2","autonomous","autonomous","s185","msg_share","msg_share_18","4"
"study1_pilot2","autonomous","autonomous","s196","msg_share","msg_share_18","4"
"study1_pilot2","autonomous","autonomous","s221","msg_share","msg_share_18","6"
"study1_pilot2","autonomous","autonomous","s064","msg_share","msg_share_20","7"
"study1_pilot2","autonomous","autonomous","s068","msg_share","msg_share_20","6"
"study1_pilot2","autonomous","autonomous","s098","msg_share","msg_share_20","7"
"study1_pilot2","autonomous","autonomous","s100","msg_share","msg_share_20","7"
"study1_pilot2","autonomous","autonomous","s108","msg_share","msg_share_20","5"
"study1_pilot2","autonomous","autonomous","s138","msg_share","msg_share_20","5"
"study1_pilot2","autonomous","autonomous","s185","msg_share","msg_share_20","4"
"study1_pilot2","autonomous","autonomous","s203","msg_share","msg_share_20","2"
"study1_pilot2","autonomous","autonomous","s221","msg_share","msg_share_20","6"
"study1_pilot2","autonomous","autonomous","s227","msg_share","msg_share_20","6"
"study1_pilot2","autonomous","autonomous","s093","msg_share","msg_share_23","5"
"study1_pilot2","autonomous","autonomous","s203","msg_share","msg_share_23","7"
"study1_pilot2","autonomous","autonomous","s227","msg_share","msg_share_23","3"
"study1_pilot2","autonomous","autonomous","s064","msg_share","msg_share_24","7"
"study1_pilot2","autonomous","autonomous","s098","msg_share","msg_share_24","3"
"study1_pilot2","autonomous","autonomous","s100","msg_share","msg_share_24","6"
"study1_pilot2","autonomous","autonomous","s108","msg_share","msg_share_24","7"
"study1_pilot2","autonomous","autonomous","s143","msg_share","msg_share_24","2"
"study1_pilot2","autonomous","autonomous","s153","msg_share","msg_share_24","1"
"study1_pilot2","autonomous","autonomous","s196","msg_share","msg_share_24","6"
"study1_pilot2","autonomous","autonomous","s208","msg_share","msg_share_24","7"
"study1_pilot2","autonomous","autonomous","s232","msg_share","msg_share_24","7"
"study1_pilot2","autonomous","autonomous","s093","msg_share","msg_share_25","6"
"study1_pilot2","autonomous","autonomous","s098","msg_share","msg_share_25","5"
"study1_pilot2","autonomous","autonomous","s155","msg_share","msg_share_25","2"
"study1_pilot2","autonomous","autonomous","s185","msg_share","msg_share_25","4"
"study1_pilot2","autonomous","autonomous","s190","msg_share","msg_share_25","7"
"study1_pilot2","autonomous","autonomous","s208","msg_share","msg_share_25","7"
"study1_pilot2","autonomous","autonomous","s093","msg_share","msg_share_31","7"
"study1_pilot2","autonomous","autonomous","s100","msg_share","msg_share_31","7"
"study1_pilot2","autonomous","autonomous","s138","msg_share","msg_share_31","7"
"study1_pilot2","autonomous","autonomous","s155","msg_share","msg_share_31","2"
"study1_pilot2","autonomous","autonomous","s203","msg_share","msg_share_31","5"
"study1_pilot2","autonomous","autonomous","s093","msg_share","msg_share_32","5"
"study1_pilot2","autonomous","autonomous","s134","msg_share","msg_share_32","5"
"study1_pilot2","autonomous","autonomous","s153","msg_share","msg_share_32","7"
"study1_pilot2","autonomous","autonomous","s155","msg_share","msg_share_32","2"
"study1_pilot2","autonomous","autonomous","s166","msg_share","msg_share_32","6"
"study1_pilot2","autonomous","autonomous","s190","msg_share","msg_share_32","6"
"study1_pilot2","autonomous","autonomous","s221","msg_share","msg_share_32","5"
"study1_pilot2","message control","message control","s002","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s004","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s015","msg_rel_self","msg_rel_self_06","4"
"study1_pilot2","message control","message control","s023","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s035","msg_rel_self","msg_rel_self_06","7"
"study1_pilot2","message control","message control","s057","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s092","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s112","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","message control","message control","s125","msg_rel_self","msg_rel_self_06","7"
"study1_pilot2","message control","message control","s181","msg_rel_self","msg_rel_self_06","5"
"study1_pilot2","message control","message control","s183","msg_rel_self","msg_rel_self_06","5"
"study1_pilot2","message control","message control","s004","msg_rel_self","msg_rel_self_07","6"
"study1_pilot2","message control","message control","s056","msg_rel_self","msg_rel_self_07","6"
"study1_pilot2","message control","message control","s069","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","message control","message control","s073","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","message control","message control","s112","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","message control","message control","s124","msg_rel_self","msg_rel_self_07","6"
"study1_pilot2","message control","message control","s177","msg_rel_self","msg_rel_self_07","5"
"study1_pilot2","message control","message control","s209","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","message control","message control","s230","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","message control","message control","s050","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","message control","message control","s056","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","message control","message control","s069","msg_rel_self","msg_rel_self_08","7"
"study1_pilot2","message control","message control","s074","msg_rel_self","msg_rel_self_08","4"
"study1_pilot2","message control","message control","s077","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","message control","message control","s149","msg_rel_self","msg_rel_self_08","7"
